Timestamp,Channel1,Channel2,Channel3,Action1,Action2
11.257,680.7178331277172,675.1001995921373,695.89849959594,Rest,
11.26,676.5657396990943,673.7874130949274,691.9036170129319,Rest,
11.263,670.0559037990455,671.3268901499379,695.0007164479156,Rest,
11.266,664.70820840695,670.3000206112886,689.4867014273049,Rest,
11.269,667.9038408880044,668.4732190934681,687.2970154639501,Rest,
11.272,673.6334507028402,668.2171932717793,688.4096584808419,Rest,
11.275,681.3402570891686,669.6206843400818,687.7379319355407,Rest,
11.278,677.8846648794013,672.1129127875463,691.9410701919878,Rest,
11.281,669.4897132503645,672.0020201208615,696.4062805660105,Rest,
11.285,659.7863179190538,671.616642667847,695.4613733841626,Rest,
11.288,665.5813295342123,667.3205914879551,688.7294213449265,Rest,
11.291,670.0556355781121,664.7346192281984,695.9327520051899,Rest,
11.294,673.1780115578189,668.9536093418133,688.5179589412163,Rest,
11.297,678.1159958977695,670.1784992430805,700.124890819179,Rest,
11.3,671.8556519574704,667.4990192054534,705.1349449318582,Rest,
11.303,661.7035092954051,669.5229237702994,696.5720416989376,Rest,
11.306,660.643831568221,670.5615795328116,685.4464906986344,Rest,
11.309,668.7076787600134,667.9271486910759,672.761411996056,Rest,
11.312,677.4654552299327,669.9314504780115,683.4829233268408,Rest,
11.315,677.7933362476034,669.7428029469016,677.5132372991129,Rest,
11.318,673.7822853067262,670.5495572745273,689.8355203670884,Rest,
11.321,670.3316212095763,671.8418969919559,695.8495421230247,Rest,
11.324,674.0769450756246,664.5776366684004,691.9147916930666,Rest,
11.327,672.8241119175091,662.3867085441003,696.4258207590366,Rest,
11.33,678.1694952451581,661.981624601081,690.5331797043299,Rest,
11.333,681.9231214431669,667.8724411573936,681.2686438880735,Rest,
11.336,677.7841982584235,662.7245256572396,688.9402996230483,Rest,
11.339,665.3919244279772,662.2181114218367,702.4660786945914,Rest,
11.342,666.2614424540332,667.9650667864164,697.1521058263905,Rest,
11.345,674.0591894458759,669.7914516677203,684.3908941019647,Rest,
11.348,682.3023327949444,668.5209069872984,672.4765339465778,Rest,
11.351,686.53370875522,666.426973513004,672.0562812157012,Rest,
11.354,685.1449608975603,667.5360438270621,693.9795391535209,Rest,
11.357,678.7170903345454,667.7156999964357,697.2853591782283,Rest,
11.36,673.2136539475505,668.6455581957767,707.5077191004418,Rest,
11.363,665.2718741025775,669.9772894355403,694.6069025524738,Rest,
11.366,658.1019518496933,670.2755946249479,691.9294180785915,Rest,
11.369,670.5728501764357,666.3960589642595,692.7461162502905,Rest,
11.372,676.3785590384673,663.7801496720492,683.9373962804551,Rest,
11.375,681.3313289083635,666.0199887776362,681.9685395918535,Rest,
11.378,682.6569476910768,667.9652730185119,694.8462098653566,Rest,
11.381,683.005555034346,667.9371592923593,701.3691385232376,Rest,
11.384,682.6424911788096,670.6885428057363,689.526362958713,Rest,
11.387,679.3240433125547,667.3410567451783,688.689775310728,Rest,
